id,title,skills_required,sector,location,eligibility
331,Marketing Intern,"html, css, javascript, react",Design,Delhi,"BA, MA"
332,Business Analyst Intern,"sql, analytics, consulting",Design,Noida,"BCom, MBA"
333,Graphic Intern,"html, css, javascript, react",Finance,Mumbai,"BCom, MBA"
334,Business Analyst Intern,"content, copywriting, research",HR,Ahmedabad,"BCA, B.Tech"
335,Web Dev Intern,"excel, accounting, analytics",Content,Delhi,"MBA, PGDM"
336,Web Dev Intern,"content, copywriting, research",Design,Ahmedabad,"BCom, MBA"
337,Data Science Intern,"communication, social media, seo",Consulting,Chennai,"MBA, PGDM"
338,Data Science Intern,"excel, accounting, analytics",Design,Delhi,"MBA, PGDM"
339,HR Intern,"illustrator, photoshop, creativity",Design,Kolkata,"BCA, B.Tech"
340,Web Dev Intern,"illustrator, photoshop, creativity",Cloud,Chennai,"MBA, BBA"
341,Cloud Intern,"content, copywriting, research",Content,Hyderabad,"BA, MA"
342,Graphic Intern,"content, copywriting, research",Consulting,Bangalore,"BSc, MSc"
343,Design Intern,"sql, analytics, consulting",Cloud,Hyderabad,"MBA, BBA"
344,Marketing Intern,"photoshop, branding, graphics",Consulting,Pune,"BDes, BA"
345,Web Dev Intern,"illustrator, photoshop, creativity",Design,Chennai,"B.Tech, BSc IT"
346,Graphic Intern,"excel, accounting, analytics",Design,Kolkata,"MBA, PGDM"
347,Web Dev Intern,"html, css, javascript, react",HR,Pune,"BCom, MBA"
348,Design Intern,"communication, social media, seo",Consulting,Jaipur,"B.Tech, M.Tech"
349,HR Intern,"html, css, javascript, react",Marketing,Noida,"B.Tech, BSc IT"
350,Business Analyst Intern,"excel, accounting, analytics",Marketing,Delhi,"BCA, B.Tech"
351,Data Science Intern,"content, copywriting, research",Cloud,Chennai,"B.Tech, BSc IT"
352,Data Science Intern,"sql, analytics, consulting",Finance,Noida,"MBA, BBA"
353,Content Intern,"aws, devops, linux",Consulting,Bangalore,"B.Tech, BSc IT"
354,Cloud Intern,"recruitment, onboarding, communication",Finance,Ahmedabad,"BCA, B.Tech"
355,Finance Intern,"sql, analytics, consulting",Software Dev,Bangalore,"BSc, MSc"
356,Web Dev Intern,"photoshop, branding, graphics",Finance,Pune,"MBA, PGDM"
357,Business Analyst Intern,"content, copywriting, research",Consulting,Kolkata,"BSc, MSc"
358,Finance Intern,"excel, accounting, analytics",Consulting,Kolkata,Any Graduate
359,Design Intern,"excel, accounting, analytics",IT/AI,Chennai,"MBA, BBA"
360,Finance Intern,"photoshop, branding, graphics",Media,Chennai,"B.Tech, BSc IT"
361,Marketing Intern,"sql, analytics, consulting",HR,Pune,Any Graduate
362,Marketing Intern,"excel, accounting, analytics",Content,Mumbai,"BA, MA"
363,Data Science Intern,"illustrator, photoshop, creativity",Media,Delhi,"MBA, PGDM"
364,Design Intern,"excel, accounting, analytics",Cloud,Jaipur,"MBA, PGDM"
365,HR Intern,"html, css, javascript, react",Design,Pune,"B.Tech, M.Tech"
366,Marketing Intern,"recruitment, onboarding, communication",Content,Pune,"B.Tech, M.Tech"
367,Design Intern,"illustrator, photoshop, creativity",Cloud,Kolkata,"BA, MA"
368,Web Dev Intern,"illustrator, photoshop, creativity",Software Dev,Noida,"BDes, BA"
369,Graphic Intern,"content, copywriting, research",Finance,Hyderabad,"BDes, BA"
370,Content Intern,"sql, analytics, consulting",Cloud,Pune,"MBA, BBA"
371,Business Analyst Intern,"sql, analytics, consulting",Content,Delhi,"B.Tech, BSc IT"
372,Data Science Intern,"sql, analytics, consulting",Media,Bangalore,"B.Tech, M.Tech"
373,Finance Intern,"content, copywriting, research",Design,Hyderabad,"B.Tech, M.Tech"
374,Data Science Intern,"excel, accounting, analytics",Cloud,Chennai,"BCom, MBA"
375,Data Science Intern,"illustrator, photoshop, creativity",HR,Ahmedabad,"BDes, BA"
376,Business Analyst Intern,"illustrator, photoshop, creativity",Design,Bangalore,"MBA, BBA"
377,Design Intern,"html, css, javascript, react",Software Dev,Noida,"BCA, B.Tech"
378,Content Intern,"html, css, javascript, react",Finance,Mumbai,"BSc, MSc"
379,Finance Intern,"content, copywriting, research",IT/AI,Jaipur,"BA, MA"
380,Design Intern,"aws, devops, linux",Finance,Kolkata,"MBA, PGDM"
381,HR Intern,"recruitment, onboarding, communication",Finance,Delhi,"B.Tech, BSc IT"
382,Finance Intern,"aws, devops, linux",Consulting,Hyderabad,"BCom, MBA"
383,Data Science Intern,"recruitment, onboarding, communication",Content,Jaipur,"B.Tech, BSc IT"
384,HR Intern,"aws, devops, linux",Software Dev,Jaipur,"MBA, BBA"
385,Finance Intern,"illustrator, photoshop, creativity",Finance,Delhi,"MBA, PGDM"
386,Cloud Intern,"illustrator, photoshop, creativity",Cloud,Noida,"BA, MA"
387,Marketing Intern,"sql, analytics, consulting",Media,Mumbai,"BSc, MSc"
388,Content Intern,"photoshop, branding, graphics",Content,Jaipur,"BA, MA"
389,Web Dev Intern,"python, machine learning, statistics",Media,Pune,"BA, MA"
390,HR Intern,"excel, accounting, analytics",Design,Bangalore,"B.Tech, BSc IT"
391,Design Intern,"communication, social media, seo",Media,Mumbai,"BCA, B.Tech"
392,Graphic Intern,"python, machine learning, statistics",Finance,Chennai,"BCom, MBA"
393,Cloud Intern,"python, machine learning, statistics",Cloud,Bangalore,"B.Tech, BSc IT"
394,Finance Intern,"photoshop, branding, graphics",IT/AI,Noida,"B.Tech, BSc IT"
395,Design Intern,"photoshop, branding, graphics",Design,Chennai,Any Graduate
396,Cloud Intern,"sql, analytics, consulting",Consulting,Jaipur,"BA, MA"
397,HR Intern,"sql, analytics, consulting",Cloud,Hyderabad,"B.Tech, BSc IT"
398,Finance Intern,"photoshop, branding, graphics",Marketing,Pune,"BCom, MBA"
399,Marketing Intern,"communication, social media, seo",HR,Delhi,Any Graduate
400,Design Intern,"excel, accounting, analytics",Content,Bangalore,"BCA, B.Tech"
